"","Year","Month","Day","Hour","Minute","Department","Division","Case_Type","Hundred_Block","Street_Name","Local_Area","h_block","full_address","lat","lon"
"1",2014,1,1,7,21,"CSG - Licenses","Animal Control","Dead Animal Pickup Case","Intersection","E 64TH AV and PRINCE ALBERT ST","Sunset","Intersection"," E 64TH AV and PRINCE ALBERT ST, Vancouver, BC, Canada",49.21203,-123.08818
"2",2014,1,1,7,45,"ENG - Solid Waste","Sanitation","Missed Garbage Pickup","22##","SW MARINE DRIVE","Kerrisdale","2200","2200 SW MARINE DRIVE, Vancouver, BC, Canada",49.2196388,-123.158754
"3",2014,1,1,9,27,"ENG - Solid Waste","Sanitation","Abandoned Garbage Pickup - City Property & Parks","10##","W 12TH AV","Fairview","1000","1000 W 12TH AV, Vancouver, BC, Canada",49.2604551,-123.1269001
"4",2014,1,1,10,6,"ENG - Solid Waste","Sanitation","Missed Garbage Pickup","27##","W 16TH AV","Arbutus Ridge","2700","2700 W 16TH AV, Vancouver, BC, Canada",49.2574158,-123.165901
"5",2014,1,1,10,15,"PRB - Administration","General Park Board Information","PRB_Park Ranger SR","11##","W CORDOVA ST","Downtown","1100","1100 W CORDOVA ST, Vancouver, BC, Canada",49.2882876,-123.119279
"6",2014,1,1,10,17,"ENG - Streets","Traffic and Electrical Operations","Sign - Repair","8600"," - 8699 GRANVILLE ST","Marpole","8600","8600  - 8699 GRANVILLE ST, Vancouver, BC, Canada",49.2084331,-123.1403951
"7",2014,1,1,10,20,"ENG - Solid Waste","Sanitation","Missed Garbage Pickup","32##","GRANVILLE ST","Shaughnessy","3200","3200 GRANVILLE ST, Vancouver, BC, Canada",49.2565085,-123.1386336
"8",2014,1,1,10,45,"CSG - Licenses","Animal Control","Animal Control General Inquiry Case","10##","E 14TH AV","Mount Pleasant","1000","1000 E 14TH AV, Vancouver, BC, Canada",49.2577249,-123.0831601
"9",2014,1,1,10,51,"ENG - Solid Waste","Sanitation","Missed Garbage Pickup","69##","BALMORAL ST","Victoria-Fraserview","6900","6900 BALMORAL ST, Vancouver, BC, Canada",49.2216868,-123.0681837
"10",2014,1,1,11,21,"CSG - Licenses","Animal Control","Lost Pets Case","22##","E BROADWAY","Grandview-Woodland","2200","2200 E BROADWAY, Vancouver, BC, Canada",49.2621051,-123.0597313
"11",2014,1,1,12,3,"ENG - Solid Waste","Sanitation","Abandoned Garbage Pickup - City Property & Parks","32##","SCHOOL AV","Killarney","3200","3200 SCHOOL AV, Vancouver, BC, Canada",49.2327124,-123.0370101
"12",2014,1,1,12,4,"ENG - Solid Waste","Sanitation","Abandoned Garbage Pickup - City Property & Parks","32##","SCHOOL AV","Killarney","3200","3200 SCHOOL AV, Vancouver, BC, Canada",49.2327124,-123.0370101
"13",2014,1,1,12,42,"ENG - Transportation","Neighbourhood Parking and Transportation","Residential Parking Requests","5##","E 8TH AV","Mount Pleasant","500","500 E 8TH AV, Vancouver, BC, Canada",49.2633749,-123.0927597
"14",2014,1,1,12,45,"ENG - Solid Waste","Sanitation","Missed Yard Trimmings and Food Scraps Pickup","28##","HIGHBURY ST","West Point Grey","2800","2800 HIGHBURY ST, Vancouver, BC, Canada",49.26155,-123.1877651
"15",2014,1,1,12,47,"ENG - Solid Waste","Sanitation","Abandoned Garbage Pickup - City Property & Parks","18##","ALBERNI ST","West End","1800","1800 ALBERNI ST, Vancouver, BC, Canada",49.2921561,-123.1346113
"16",2014,1,1,12,48,"ENG - Transportation","Traffic and Data Management","Traffic & Pedestrian Signal - New","Intersection","CAROLINA ST and E BROADWAY","Mount Pleasant","Intersection"," CAROLINA ST and E BROADWAY, Vancouver, BC, Canada",49.26247,-123.09105
"17",2014,1,1,12,57,"ENG - Solid Waste","Sanitation","Abandoned Garbage Pickup - City Property & Parks","400"," - 499 WINDERMERE ST","Hastings-Sunrise","400","400  - 499 WINDERMERE ST, Vancouver, BC, Canada",49.28111,-123.0359651
"18",2014,1,1,13,3,"ENG - Solid Waste","Sanitation","Missed Yard Trimmings and Food Scraps Pickup","41##","W 13TH AV","West Point Grey","4100","4100 W 13TH AV, Vancouver, BC, Canada",49.2607751,-123.1972317
"19",2014,1,1,13,8,"ENG - Solid Waste","Sanitation","Missed Garbage Pickup","76##","CAMBIE ST","Marpole","7600","7600 CAMBIE ST, Vancouver, BC, Canada",49.2157913,-123.1165742
"20",2014,1,1,13,33,"ENG - Transportation","Street Activities - Integrated Graffiti Management","Graffiti Removal - City Property","5##","HOWE ST","Downtown","500","500 HOWE ST, Vancouver, BC, Canada",49.28508,-123.11596
"21",2014,1,1,13,43,"ENG - Solid Waste","Sanitation","Abandoned Garbage Pickup - City Property & Parks","13##","W 55TH AV","Oakridge","1300","1300 W 55TH AV, Vancouver, BC, Canada",49.2202951,-123.1352919
"22",2014,1,1,14,7,"ENG - Solid Waste","Sanitation","Poster/Sign Removal Request","7##","W PENDER ST","Downtown","700","700 W PENDER ST, Vancouver, BC, Canada",49.2848,-123.11562
"23",2014,1,1,14,10,"ENG - Transportation","Street Activities - Streets Furniture","Street Furniture Repair and Maintenance Request","5##","GRANVILLE ST","Downtown","500","500 GRANVILLE ST, Vancouver, BC, Canada",49.2843,-123.11484
"24",2014,1,1,14,16,"ENG - Solid Waste","Sanitation","Poster/Sign Removal Request","7##","DUNSMUIR ST","Downtown","700","700 DUNSMUIR ST, Vancouver, BC, Canada",49.28373,-123.11671
"25",2014,1,1,14,20,"CSG - Licenses","Animal Control","Lost Pets Case","30##","E 18TH AV","Renfrew-Collingwood","3000","3000 E 18TH AV, Vancouver, BC, Canada",49.2538351,-123.0413393
"26",2014,1,1,14,43,"ENG - Solid Waste","Sanitation","Abandoned Garbage Pickup - City Property & Parks","9##","W BROADWAY","Fairview","900","900 W BROADWAY, Vancouver, BC, Canada",49.2632551,-123.1244116
"27",2014,1,1,14,44,"ENG - Water & Sewer","Water Operations","Water Leaks/Breaks","##","SW MARINE DRIVE","Marpole","00","00 SW MARINE DRIVE, Vancouver, BC, Canada",49.23251,-123.19049
"28",2014,1,1,14,48,"ENG - Solid Waste","Sanitation","Street Cleaning & Debris Pickup","1300"," - 1399 BURRARD ST","Downtown","1300","1300  - 1399 BURRARD ST, Vancouver, BC, Canada",49.2777733,-123.1308225
"29",2014,1,1,14,59,"ENG - Streets","Streets Design - P & D - Accessibility","Wheelchair Curb/Ramp Request","Intersection","CORNWALL AV and LARCH ST","Kitsilano","Intersection"," CORNWALL AV and LARCH ST, Vancouver, BC, Canada",49.2727,-123.16199
"30",2014,1,1,15,5,"ENG - Solid Waste","Sanitation","Recycling Bag Request","12##","E 13TH AV","Mount Pleasant","1200","1200 E 13TH AV, Vancouver, BC, Canada",49.258619,-123.079412
