Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2014,7,1,7,13,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,25##,W 15TH AV,Kitsilano
2014,7,1,7,47,ENG - Water & Sewer,Water Design,Water Conservation Violation,48##,DUNBAR ST,Dunbar Southlands
2014,7,1,8,9,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,HOMER ST and W CORDOVA ST,Downtown
2014,7,1,8,34,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,6##,DAVIE ST,Downtown
2014,7,1,8,42,ENG - Streets,Traffic and Electrical Operations,Street Light - Out,72##,MATHESON CRESCENT,
2014,7,1,9,2,PRB - Administration,General Park Board Information,PRB_Park Ranger SR,41##,WALLACE ST,Dunbar Southlands
2014,7,1,9,3,CSG - Inspections,Property Use,PUI Noise Complaint Case,27##,E 53RD AV,Victoria-Fraserview
2014,7,1,9,12,PRB - Administration,General Park Board Information,PRB_Park Ranger SR,8##,W 22ND AV,South Cambie
2014,7,1,9,14,ENG - Solid Waste,Sanitation,Abandoned Garbage Pickup - City Property & Parks,33##,MAIN ST,Riley Park
2014,7,1,9,20,CSG - Inspections,Property Use,PUI Noise Complaint Case,36##,W 19TH AV,Dunbar Southlands
2014,7,1,9,23,CSG - Inspections,Property Use,PUI Noise Complaint Case,36##,W 19TH AV,Dunbar Southlands
2014,7,1,9,26,CSG - Licenses,Animal Control,Holding Stray Case,15##,W 4TH AV,Fairview
2014,7,1,9,29,ENG - Solid Waste,Sanitation,Dead Skunk Pickup,26##,BALACLAVA ST,Kitsilano
2014,7,1,9,29,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,43##,W 14TH AV,West Point Grey
2014,7,1,9,32,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,44##,W 13TH AV,West Point Grey
2014,7,1,9,34,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,44##,W 13TH AV,West Point Grey
2014,7,1,9,35,CSG - Inspections,Property Use,PUI Noise Complaint Case,7##,PACIFIC ST,Downtown
2014,7,1,9,35,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,44##,W 13TH AV,West Point Grey
2014,7,1,9,36,ENG - Water & Sewer,Water Design,Water Conservation Violation,43##,W 13TH AV,West Point Grey
2014,7,1,9,49,ENG - Water & Sewer,Water Design,Water Conservation Violation,63##,BROOKS ST,Killarney
2014,7,1,9,53,ENG - Water & Sewer,Water Design,Water Conservation Violation,63##,BROOKS ST,Killarney
2014,7,1,9,57,CSG - Inspections,Property Use,PUI Noise Complaint Case,7##,RICHARDS ST,Downtown
2014,7,1,10,12,CSG - Inspections,Property Use,PUI Noise Complaint Case,14##,WILLIAM ST,Grandview-Woodland
2014,7,1,10,20,CSG - Licenses,Animal Control,Lost Pets Case,18##,HARRISON DRIVE,Victoria-Fraserview
2014,7,1,10,29,ENG - Solid Waste,Sanitation,Missed Recycling Pickup,7##,KEEFER ST,Strathcona
2014,7,1,10,30,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,7##,KEEFER ST,Strathcona
2014,7,1,10,30,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,8##,KEEFER ST,Strathcona
2014,7,1,10,42,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,2800, - 2899 E 22ND AV,Renfrew-Collingwood
2014,7,1,10,46,ENG - Transportation,Neighbourhood Parking and Transportation,Residential Parking Requests,29##,OAK ST,Fairview
2014,7,1,10,58,CSG - Inspections,Property Use,PUI PNE Noise Complaint Case,29##,E HASTINGS ST,Hastings-Sunrise
